,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1047,CHEMBL981,C[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(OCC(F)(F)F)cc3Cl)cc2O1,Inactive,474.8590000000001,5.297300000000005,1.0,5.0,5.221848749616356
1048,CHEMBL121,CCOc1ccc(OCCCOc2ccc3c(c2)O[C@@](C)(C(=O)O)CC3)c(Cl)c1,Active,420.88900000000024,4.754900000000004,1.0,5.0,4.823908740944319
1049,CHEMBL370152,C[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(OCC4CCC4)cc3Cl)cc2O1,Active,460.95400000000024,5.535100000000006,1.0,5.0,5.698970004336019
1050,CHEMBL373237,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(C4CCC(C)(C)CC4)cc3Cl)cc2O1,Active,501.0630000000003,7.430100000000008,1.0,4.0,5.2441251443275085
1051,CHEMBL196428,CC(C)(C)c1ccc(OCCCOc2ccc3c(c2)O[C@@](C)(C(=O)O)CC3)c(Cl)c1,Active,432.9440000000002,5.653700000000006,1.0,4.0,4.823908740944319
1052,CHEMBL372107,CC(C)c1ccc(OCCCOc2ccc3c(c2)O[C@@](C)(C(=O)O)CC3)c(Cl)c1,Active,418.91700000000014,5.479600000000005,1.0,4.0,5.301029995663981
1053,CHEMBL426294,CC(C)Cc1ccc(OCCCOc2ccc3c(c2)O[C@@](C)(C(=O)O)CC3)c(Cl)c1,Active,432.9440000000002,5.554700000000006,1.0,4.0,5.522878745280337
1054,CHEMBL198605,COc1ccc2c(c1)c(Cc1cccc(OC(C)C(=O)O)c1)c(C)n2C(=O)c1ccc(Cl)cc1,Active,477.9440000000002,5.742920000000004,1.0,5.0,7.309803919971486
1055,CHEMBL194740,COc1ccc2c(c1)c(Cc1ccc(OC(C)C(=O)O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,Active,477.9440000000002,5.742920000000004,1.0,5.0,5.669586226650809
1056,CHEMBL197636,COc1ccc2c(c1)c(Cc1ccccc1OC(C)(C)C(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,Active,491.97100000000023,6.133020000000005,1.0,5.0,7.102372908709558
1057,CHEMBL197637,COc1ccc2c(c1)c(Cc1cccc(OC(C)(C)C(=O)O)c1)c(C)n2C(=O)c1ccc(Cl)cc1,Active,491.97100000000023,6.133020000000005,1.0,5.0,7.346787486224656
1058,CHEMBL372850,COc1ccc2c(c1)c(Cc1ccc(OC(C)(C)C(=O)O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,Active,491.9710000000001,6.133020000000005,1.0,5.0,6.039053804266168
1059,CHEMBL381889,COc1ccc(C(=O)n2c(C)c(Cc3ccccc3OC(C)C(=O)O)c3cc(OC(F)(F)F)ccc32)cc1,Active,527.4950000000002,5.988120000000005,1.0,6.0,9.0
1060,CHEMBL381865,COc1ccc(C(=O)n2c(C)c(Cc3ccccc3O[C@H](C)C(=O)O)c3cc(OC(F)(F)F)ccc32)cc1,Active,527.4950000000002,5.988120000000005,1.0,6.0,7.638272163982407
1061,CHEMBL372639,COc1ccc(C(=O)n2c(C)c(Cc3ccccc3O[C@@H](C)C(=O)O)c3cc(OC(F)(F)F)ccc32)cc1,Active,527.4950000000002,5.988120000000005,1.0,6.0,8.698970004336019
1062,CHEMBL198207,CCC(Oc1ccccc1Cc1c(C)n(C(=O)c2ccc(OC)cc2)c2ccc(OC(F)(F)F)cc12)C(=O)O,Active,541.5220000000002,6.378220000000004,1.0,6.0,8.522878745280337
1063,CHEMBL372780,COc1ccc(C(=O)n2c(C)c(Cc3ccccc3OC(C)(C)C(=O)O)c3cc(OC(F)(F)F)ccc32)cc1,Active,541.5220000000002,6.378220000000005,1.0,6.0,9.0
1064,CHEMBL370648,COc1ccc(C(=O)n2c(C)c(Cc3cccc(OC(C)C(=O)O)c3)c3cc(OC(F)(F)F)ccc32)cc1,Active,527.4950000000002,5.988120000000005,1.0,6.0,9.0
1065,CHEMBL197671,COc1ccc(C(=O)n2c(C)c(Cc3cccc(O[C@@H](C)C(=O)O)c3)c3cc(OC(F)(F)F)ccc32)cc1,Active,527.4950000000002,5.988120000000005,1.0,6.0,9.0
1066,CHEMBL373048,COc1ccc(C(=O)n2c(C)c(Cc3cccc(O[C@H](C)C(=O)O)c3)c3cc(OC(F)(F)F)ccc32)cc1,Active,527.4950000000002,5.988120000000005,1.0,6.0,8.522878745280337
1067,CHEMBL198266,CCC(Oc1cccc(Cc2c(C)n(C(=O)c3ccc(OC)cc3)c3ccc(OC(F)(F)F)cc23)c1)C(=O)O,Active,541.5220000000002,6.378220000000005,1.0,6.0,8.522878745280337
1068,CHEMBL198091,C[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(C4CCCC4)cc3Cl)cc2O1,Active,444.9550000000002,6.013800000000006,1.0,4.0,5.42021640338319
1069,CHEMBL198269,CCCC(Oc1cccc(Cc2c(C)n(C(=O)c3ccc(OC)cc3)c3ccc(OC(F)(F)F)cc23)c1)C(=O)O,Active,555.5490000000002,6.768320000000005,1.0,6.0,8.397940008672037
1070,CHEMBL370443,COc1ccc(C(=O)n2c(C)c(Cc3cccc(OC(C)(C)C(=O)O)c3)c3cc(OC(F)(F)F)ccc32)cc1,Active,541.5220000000002,6.378220000000005,1.0,6.0,8.522878745280337
