molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL218122,CCc1ccc(OC(CC)CCOc2ccc(CCC(=O)O)c(C)c2)c(C(=O)c2ccccc2)c1,Active,18.0
CHEMBL376051,CCc1ccc(O[C@@H](C)CCOc2ccc(CCC(=O)O)c(C)c2)c(C(=O)c2ccccc2)c1,Intermediate,1130.0
CHEMBL435317,CCc1ccc(O[C@H](C)CCOc2ccc(CCC(=O)O)c(C)c2)c(C(=O)c2ccccc2)c1,Intermediate,5.0
CHEMBL222165,CCc1ccc(OC(C)CCOc2ccc(CCC(=O)O)c(C)c2)c(C(=O)c2ccccc2)c1,Active,12.0
CHEMBL436337,CCc1ccc(OC(C)CCOc2ccc(OC(C)(C)C(=O)O)cc2)c(C(=O)c2ccccc2)c1,Active,6.0
CHEMBL374363,COc1ccc(-c2c(C(=O)NS(=O)(=O)c3ccccc3)n(Cc3cccc(C(F)(F)F)c3)c3ccccc23)cc1,Active,3.0
CHEMBL386504,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,Active,90.0
CHEMBL447538,O=C(NS(=O)(=O)c1cccc(C(F)(F)F)c1)c1cc2cc(O)ccc2n1Cc1cccc(C(F)(F)F)c1,Active,540.0
CHEMBL386307,O=C(NS(=O)(=O)c1cccc(C(F)(F)F)c1)c1cc2cc(OCc3ccccc3)ccc2n1Cc1cccc(C(F)(F)F)c1,Active,770.0
CHEMBL222026,O=C(NS(=O)(=O)c1cccc(C(F)(F)F)c1)c1cc2cc(Cl)ccc2n1Cc1cccc(C(F)(F)F)c1,Active,330.0
CHEMBL220537,CC(C)(C)c1ccc(Cn2c(C(=O)NS(=O)(=O)c3cccc(C(F)(F)F)c3)cc3ccccc32)cc1,Active,330.0
CHEMBL220475,O=C(NS(=O)(=O)c1cccc(C(F)(F)F)c1)c1cc2ccccc2n1Cc1cc(Cl)ccc1Cl,Active,380.0
CHEMBL221342,O=C(NS(=O)(=O)c1cccc(C(F)(F)F)c1)c1cc2ccccc2n1Cc1ccccc1,Active,280.0
CHEMBL218176,O=C(NS(=O)(=O)c1cccc(C(F)(F)F)c1)c1cc2ccccc2n1Cc1cccc(OCc2ccccc2)c1,Active,50.0
CHEMBL218175,O=C(NS(=O)(=O)c1cccc(C(F)(F)F)c1)c1cc2ccccc2n1Cc1ccc(C(F)(F)F)cc1,Active,400.0
